trans_hour,trans_day,trans_month,trans_year,trans_amount,upi_number,fraud_risk
19,5,9,2017,110153.21,7662724952,1
0,10,3,2024,199723.94,7662501141,1
8,28,12,2019,36337.14,7662746773,0
6,9,5,2022,137374.63,7662132110,1
6,24,4,2019,158239.52,7662256214,1
16,28,7,2022,199449.04,7662808760,1
19,3,8,2022,93256.56,7662125138,1
1,17,9,2020,155819.97,7662228676,1
4,22,3,2023,83054.14,7662605742,1
6,9,2,2021,122694.12,7662246335,0
0,26,11,2024,8101.57,7662494921,0
13,2,12,2024,29198.82,7662661324,0
22,24,11,2022,19796.65,7662252440,0
17,21,8,2019,24695.81,7662026641,0
15,14,8,2024,15477.76,7662058975,0
16,10,12,2020,122266.75,7662183889,1
8,19,10,2025,7679.35,7662299420,0
20,14,3,2023,9378.06,7662368635,0
18,22,6,2018,77764.79,7662980676,1
20,4,8,2023,170040.06,7662278419,1
14,27,10,2020,94566.44,7662294144,1
17,16,11,2024,21295.94,7662303408,0
19,4,5,2025,68212.7,7662001737,1
10,16,5,2018,28148.11,7662491216,0
15,23,3,2025,7464.55,7662512128,0
2,6,4,2024,2185.62,7662166742,0
8,2,8,2025,70571.98,7662638896,1
21,21,6,2020,168474.08,7662701134,1
16,5,3,2023,196927.64,7662508272,1
0,21,7,2019,29908.91,7662293633,0
1,26,11,2022,146749.44,7662027038,1
19,14,9,2023,43716.74,7662424556,1
12,17,5,2022,20331.89,7662066134,0
15,4,11,2018,26851.4,7662790648,0
17,28,9,2018,18791.67,7662651822,0
10,24,4,2019,44556.0,7662741989,0
15,26,9,2025,180142.68,7662223324,1
0,27,12,2022,5569.78,7662416717,0
1,26,7,2017,113536.27,7662025939,1
14,27,6,2024,35808.94,7662469164,0
16,10,4,2022,57533.45,7662446771,0
1,2,5,2017,181046.92,7662940932,1
6,9,4,2020,43692.73,7662613610,0
11,5,9,2021,17741.73,7662874760,0
8,3,11,2018,32534.19,7662345803,0
13,25,1,2025,132383.91,7662674932,1
20,9,11,2025,129735.69,7662074389,1
2,26,2,2019,187473.38,7662539566,1
9,2,8,2017,25969.03,7662560009,0
10,22,5,2020,196540.12,7662671934,1
22,15,8,2018,26767.68,7662052740,0
22,28,8,2023,23872.27,7662618918,0
7,22,6,2017,45521.6,7662571650,0
9,9,6,2019,110535.22,7662867239,1
23,4,2,2025,165231.37,7662683099,1
22,3,2,2025,27230.24,7662369170,0
17,11,10,2023,189216.29,7662064486,1
14,20,1,2018,165671.2,7662024285,1
4,1,6,2025,186835.75,7662174174,1
11,24,7,2021,36183.09,7662768734,0
4,11,11,2018,134120.74,7662691993,1
4,5,11,2017,147078.07,7662870735,1
9,14,6,2022,37984.64,7662102972,0
3,13,9,2019,64585.8,7662693192,1
18,7,8,2024,7009.72,7662175873,0
3,11,3,2024,77289.81,7662278684,1
23,18,4,2024,127001.37,7662087793,1
23,1,12,2020,10839.44,7662236904,0
19,11,12,2019,36613.86,7662946314,0
2,9,10,2018,62282.58,7662168985,1
23,3,2,2018,8931.29,7662506519,0
13,16,5,2020,62060.72,7662151945,0
14,21,10,2019,101835.34,7662515324,1
1,1,9,2017,26818.1,7662783513,0
9,14,10,2017,37367.19,7662515999,0
16,12,3,2022,16906.14,7662335186,0
23,7,2,2019,15625.45,7662586918,0
23,2,7,2020,136340.5,7662470607,1
8,26,10,2024,167710.51,7662262749,1
21,20,5,2022,29696.79,7662662968,0
19,22,3,2021,32228.31,7662541552,0
2,8,3,2024,138799.64,7662791792,1
4,9,4,2020,22545.06,7662224152,0
7,18,9,2023,190296.75,7662244479,1
2,11,9,2019,120279.84,7662498464,1
15,16,7,2019,89520.99,7662736674,1
2,8,2,2023,118800.82,7662433951,1
2,7,9,2022,128373.54,7662789230,1
18,5,1,2024,98165.73,7662874791,1
14,18,7,2020,48949.82,7662392063,0
7,14,6,2024,9388.75,7662623255,0
16,20,1,2025,142619.53,7662329557,1
11,7,1,2021,24709.07,7662251897,0
7,25,2,2017,10173.95,7662157287,0
1,24,10,2021,103952.34,7662453521,1
17,17,8,2017,153663.22,7662786407,1
7,26,11,2021,160712.36,7662756255,1
20,6,11,2018,84894.59,7662846108,1
12,7,2,2019,7724.73,7662689341,0
16,1,9,2024,69882.41,7662396951,1
13,23,1,2020,88491.34,7662425823,1
9,10,4,2022,98661.14,7662897524,1
12,20,10,2017,165248.66,7662799777,1
4,19,11,2025,89373.85,7662361538,1
19,16,1,2021,147314.84,7662358758,1
23,13,11,2025,20217.9,7662589449,0
15,13,1,2025,18605.2,7662515034,0
20,23,11,2020,703.79,7662085117,0
3,10,2,2022,63956.62,7662147511,1
13,17,3,2019,133294.79,7662916829,1
16,22,7,2025,54304.17,7662032053,1
13,5,12,2017,108295.86,7662732630,1
17,6,1,2023,110493.35,7662062166,1
13,10,1,2024,154868.98,7662286769,1
16,9,8,2023,102949.71,7662324053,1
18,8,8,2017,173534.13,7662312580,1
17,25,9,2023,143673.35,7662718810,1
18,2,3,2019,1793.05,7662044254,0
22,16,1,2023,5646.78,7662889003,0
1,28,2,2022,162446.01,7662544846,1
12,20,8,2020,63492.78,7662307701,1
8,17,6,2025,28792.61,7662686226,0
3,18,6,2020,149288.81,7662251420,1
19,20,6,2018,92306.7,7662683777,1
6,5,5,2021,187448.44,7662437116,1
1,26,6,2023,28793.48,7662769491,0
16,7,9,2018,91701.92,7662590518,1
12,2,2,2019,19678.38,7662562102,0
17,27,4,2022,31770.56,7662856106,0
2,18,7,2020,12200.24,7662367704,0
19,1,1,2017,12885.88,7662811518,0
9,3,2,2020,180454.01,7662003073,1
12,27,12,2020,25694.0,7662454794,0
13,15,11,2019,32740.41,7662094412,0
22,23,10,2022,76504.6,7662734132,1
6,10,8,2022,18598.18,7662331034,0
7,24,1,2017,132116.18,7662081503,1
5,24,11,2017,137447.48,7662544172,1
15,13,6,2022,80615.41,7662752453,1
14,22,6,2020,33992.71,7662039663,0
17,8,9,2019,18535.03,7662770818,0
11,11,6,2017,27430.69,7662266127,0
21,25,8,2024,7542.28,7662489140,0
21,22,2,2018,41743.72,7662278643,0
15,27,1,2021,33388.47,7662002270,1
0,2,3,2020,184127.39,7662758513,1
6,16,5,2025,38124.63,7662753107,0
15,4,10,2024,48221.06,7662411776,1
2,12,11,2020,160710.88,7662358303,1
8,21,4,2022,28654.43,7662567356,0
5,15,8,2022,103576.9,7662902014,1
18,19,4,2018,193824.44,7662927365,0
17,24,9,2019,39849.62,7662821687,0
10,11,9,2017,67404.86,7662703695,0
0,24,12,2019,97708.48,7662431015,1
10,16,11,2022,101576.49,7662823945,1
14,11,12,2022,38325.94,7662667537,0
14,10,7,2022,137236.6,7662604939,1
17,22,2,2021,55744.84,7662189738,0
14,15,6,2017,24756.7,7662440139,1
16,23,1,2023,149.8,7662383902,0
16,14,8,2019,170691.28,7662021690,1
9,23,12,2023,171411.21,7662181584,1
16,13,7,2022,61867.61,7662784961,0
20,27,10,2021,26866.36,7662770283,0
20,2,7,2025,154084.29,7662499247,1
17,21,7,2023,12151.94,7662271988,0
8,13,7,2018,14523.27,7662384874,0
7,4,12,2020,34721.05,7662239632,0
6,18,8,2020,59987.59,7662716113,0
13,8,10,2021,49336.88,7662906617,0
3,22,8,2025,22998.43,7662437712,0
17,23,12,2022,186380.98,7662987278,1
11,6,10,2019,190109.79,7662300454,1
16,1,10,2021,49663.04,7662343645,0
3,21,11,2025,68502.86,7662184946,1
6,21,8,2017,102183.34,7662377220,1
20,19,5,2024,58058.4,7662253615,1
5,15,4,2025,53348.28,7662618996,1
20,7,11,2018,36356.13,7662690112,0
9,20,9,2022,37365.72,7662365593,0
12,4,11,2019,38331.65,7662944783,0
19,2,12,2021,9891.52,7662973269,0
18,6,8,2022,74842.14,7662294480,1
9,24,1,2021,20085.69,7662680561,0
2,17,7,2017,48628.33,7662442508,1
19,19,5,2024,61891.4,7662514263,1
2,21,1,2019,16060.74,7662636744,0
12,19,10,2025,54350.6,7662412321,1
1,4,2,2017,42789.19,7662852329,1
12,26,12,2022,182627.39,7662105110,1
6,13,8,2023,23648.41,7662112466,0
15,24,11,2024,176784.98,7662860784,1
6,25,7,2021,21759.91,7662107010,0
10,3,5,2020,158784.91,7662505700,0
4,28,7,2024,197342.27,7662062412,1
6,15,5,2017,180321.5,7662025703,1
18,27,11,2018,190150.64,7662679262,1
1,22,2,2017,5478.09,7662719711,0
19,4,11,2017,65965.79,7662029225,1
23,19,12,2021,11388.74,7662246614,0
10,25,2,2018,20260.91,7662205626,0
12,5,12,2019,5381.7,7662812090,0
5,14,11,2025,25343.53,7662395360,0
11,26,4,2023,30592.93,7662129175,0
12,26,2,2022,88756.44,7662931020,1
16,12,2,2018,31093.92,7662659749,0
11,25,8,2023,141522.0,7662876086,1
16,10,10,2024,22556.67,7662642243,0
18,2,3,2019,123225.64,7662646133,1
0,22,10,2021,18051.95,7662240491,0
15,11,7,2018,8455.79,7662464921,0
21,16,6,2018,47320.37,7662044371,1
19,4,5,2022,41578.94,7662118122,0
5,24,12,2023,193661.59,7662007066,1
14,25,8,2018,46721.53,7662360255,0
5,16,5,2022,143574.33,7662793707,1
20,14,6,2025,30339.78,7662115029,0
12,13,1,2023,172473.82,7662968652,1
10,22,11,2023,10197.4,7662805961,0
16,19,8,2022,17470.63,7662890436,0
22,26,7,2023,21466.04,7662133428,0
13,4,11,2022,35034.15,7662921895,0
14,27,2,2020,43743.23,7662701553,0
7,17,5,2021,25987.06,7662714963,0
6,1,5,2021,104987.33,7662909913,1
2,1,9,2024,134110.46,7662201842,1
6,8,1,2022,5687.6,7662010616,0
6,26,2,2024,22611.66,7662971114,0
9,26,4,2018,1979.4,7662994977,0
13,22,11,2023,172050.3,7662408804,1
19,14,3,2017,61820.61,7662420260,0
11,26,6,2018,159338.03,7662391266,1
12,7,3,2019,15112.78,7662672313,0
17,22,2,2025,135984.88,7662054818,1
19,6,3,2020,62783.42,7662556669,0
3,21,1,2019,5289.21,7662160741,1
